id;code;subcode;description;key_words
1;binarism;explicit_binarism;"se refiere a las personas trans como hombres o como mujeres";"hombre, mujer"
2;binarism;implicit_binarism;"utiliza pronombres binarios";"un, una, el , la"
3;binarism;neutral_binarism;"utiliza categorías neutras";"persona"
4;binarism;no_binary;"se refiere a las personas trans con alguna forma de lenguaje no binario";"todes, no binarie"
5;socialization;personal_decision;"acentúa el carácter personal de la decisión de ser trans";"decidir, querer"
6;socialization;social_asignation;"reconoce inconfomidad con el sexo asignado y/o percibido";"asignado"
7;socialization;social_recognition;"acentúa la necesidad de reconocimiento";"reconocido, visible"
8;socialization;social_construction;"presenta el género como un contructo social interiorizado";"construído"
9;criticism;acritic;"la condición trans no tiene implicaciones sociopolíticas, ni critica roles de género";"ser uno mismo"
10;criticism;stigma;"reconoce la existencia de estigma o de posición minoritaria";"segregación, estigma, invisibilidad"
11;criticism;inequality;"reconoce desigualdad, discriminación o violencia derivada de ser trans";"discriminación, desigualdad"
12;criticism;critic;"desafía las normas de género, cisnormatividad y la violencia estructural";"transfobia, patriarcado"
13;relation;feminism;"relaciona trans con mujeres";"feminismo, TERF"
14;relation;vih;"relaciona trans con VIH";"vih, sida"
15;relation;sex_work;"relaciona trans con trabajo sexual";"trabajo sexual, sexoservicio"
16;relation;jail;"relaciona trans con presos";"presos, carcel"
17;relation;immigrants;"relaciona trans con migrantes";"migrante"
18;relation;indigenous;"relaciona trans con indígenas";"indígena, muxe"
19;relation;lgbt;"relaciona trans con el colectivo LGBTQ o la diversidad sexual";"lgbt, gay, lesbiana, bisexual"
20;relation;queer;"relaciona trans con personas queer o no binarias";"queer"
21;topic;health;"trata el tema de la salud y proceso corporales";"salud, vacuna, paciente, clínica"
22;topic;documentation;"trata el tema de los documentos de identidad de las personas trans";"pasaporte, ine"
23;topic;congress;"trata el tema del debate perlamentario sobre derechos trans";"ley, voto, congreso"
24;topic;violence;"trata el tema de violencia hacia personas trans";"agresión, violación, muerte, asesinato"
25;topic;performance;"trata el tema de farándula, show, cine y cultura";"show, drag, cine, miss"
26;topic;protest;"trata el tema de ocupación del espacio público";"marcha, activita, protesta"
