DT,SN,BY,WC,HD,LP,AN,anio
2003-01-21,El Universal,Por Pablo Marentes.,804 words,Opinión-Análisis de las políticas agropecuarias.,"El 9 de diciembre del año que acaba de pasar, el secretario Usabiaga, de Agricultura, afirmó: Después del 1 de enero ""no va a pasar nada, absolutamente nada"". El 10 de diciembre, un grupo de miembros de El Barzón y de la Coordinadora Nacional de Trabajadores de la Educación, a pie y a caballo, empujaron puertas, rompieron vidrios pasaron sobre los diputados-defensores y se introdujeron en el salón de sesiones de la Cámara de Diputados.",Document unvsal0020030122dz1l0006r,2003
2004-10-03,Reforma,Carla Guerrero,730 words,NY en 15 mordidas,"REFORMA Visita el Museo Metropolitano, donde verás grandes obras de artistas como Andy Warhol, Henri Matisse, Roy Lichtenstein y Jackson Pollock.",Document RFMA000020041004e0a3000br,2004
2004-10-03,Reforma,NA,451 words,NY en 15 mordidas,"El Empire State, ahora el edificio más alto de Nueva York, con 102 pisos, cuenta con un mirador que ofrece la mejor panorámica de la Gran Manzana. Otro de sus atractivos depende de la época: la parte más alta del edificio se viste de colores según una programación anual que celebra fiestas nacionales y victorias deportivas. De tal forma que lo verás verde para el día de San Patricio; de blanco y azul por la victoria de los Yankees en la Serie Mundial, y de lavanda el día del Orgullo Gay. Escucha gospel en el Barrio de Harlem o admira la Catedral de San Patricio, en la Quinta Av.",Document RFMA000020041004e0a3000by,2004
2004-12-01,Reforma,Anayansin Inzunza,700 words,Contagian esposos sida a sus mujeres,"Adquieren virus 8 de cada 10 capitalinas de sus maridos La coordinadora del Programa, Carmen Soler, atribuye estas alarmantes cifras a la falta de uso de condón por la confianza que las mujeres tienen en sus maridos o compañeros sentimentales.",Document RFMA000020041201e0c10002z,2004
2004-05-29,Reforma,Anayansin Inzunza,459 words,Recuerdan a muertos de sida,"Caminan hoy con velas de la Alameda Central al Ángel de Independencia En México hay 72 mil enfermos de VIH-sida, de los cuales, 14 mil viven en el Distrito Federal, según el Registro Nacional de Casos de Sida.",Document RFMA000020040701e05t0005o,2004
2005-10-21,Reforma,Alejandra Bordon,202 words,...y en el DF buscan Fiscal,"La posibilidad de crear una Fiscalía especial que investigue los homicidios de viejitas en el DF es analizada y no ha sido descartada, afirmó ayer el Jefe de Gobierno, Alejandro Encinas. ""Es un tema que no hemos descartado, lo estamos analizando y seguramente tomaremos una decisión los próximos días"", aseguró.",Document RFMA000020051021e1al00013,2005
2005-03-14,Reforma,Ricardo Zamora y David Díaz,660 words,Resuelven crimen; liberan a sacerdote,"Van a prisión homicidas de homosexual. Localizan evidencia de pornografía, pero la PGJDF deslinda a religioso El religioso obtuvo su libertad. A prisión sólo fueron enviados su amigo Julio Porres Vega y Jonathan Michel Barreda, acusados de asesinar a Eric Antonio Vladimir Sevilla, habitante de la casa de servicio de la Iglesia de Jesucristo Obrero, en Tlalpan.",Document RFMA000020050314e13e000e0,2005
2005-10-04,Reforma,NA,706 words,Alertan en Veracruz por tormenta 'Stan',Prevén evacuaciones en 22 municipios REFORMA/ Redacción,Document RFMA000020051004e1a400008,2005
2005-02-09,Reforma,Moisés Ramírez,331 words,Enfrentan avicultores a las transnacionales,Para la construcción de un rastro TIF se invertirán 12 millones de dólares Cinco empresas avícolas se aliaron para lograr recuperar lo más que puedan del 60 por ciento de la cuota del mercado nacional que les han arrebatado diversas empresas transnacionales.,Document RFMA000020050209e1290001w,2005
2005-12-01,Reforma,César Cepeda y Daniel Reyes,301 words,Reclaman control a prostitución en NL,"Corresponsales El incremento de las personas que se dedican al sexoservicio en las calles, se quejaron los comerciantes, provoca deterioro y aumenta los riesgos.",Document RFMA000020051201e1c10005l,2005
